fill	showSelected1	PANEL	group	ymin	ymax	xmin	xmax
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
#FEE0D2	people slightly injured	1	1	0	1	1343874960	1346052240
