colour	x	y	label	key	clickSelects	showSelected1	PANEL	group
#FB8072	14	4368	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	14	4723	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	3	4396	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	22	4274	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	12	5010	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	2	4232	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	5	2643	du Parc	du Parc	du Parc	du Parc	2	4
#B3DE69	10	518	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	18	530	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	18	1628	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	15	2346	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	20	4741	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	24	4134	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	8	4886	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	3	3695	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	3	4283	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	26	1956	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	4	697	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#FCCDE5	10	741	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	23	513	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	21	3346	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	19	4429	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	14	6275	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	1	7095	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	10	6452	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	21	6140	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	7	6604	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	26	5078	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	1	2961	Rachel	Rachel	Rachel	Rachel	2	8
#8DD3C7	15	1081	Berri	Berri	Berri	Berri	2	1
#8DD3C7	14	940	Berri	Berri	Berri	Berri	2	1
#8DD3C7	28	1588	Berri	Berri	Berri	Berri	2	1
#8DD3C7	30	5171	Berri	Berri	Berri	Berri	2	1
#8DD3C7	28	7303	Berri	Berri	Berri	Berri	2	1
#8DD3C7	19	7108	Berri	Berri	Berri	Berri	2	1
#8DD3C7	3	7179	Berri	Berri	Berri	Berri	2	1
#8DD3C7	20	6627	Berri	Berri	Berri	Berri	2	1
#8DD3C7	5	6821	Berri	Berri	Berri	Berri	2	1
#BEBADA	16	578	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	1	524	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	28	1090	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	30	2762	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	7	3768	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	19	3634	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	9	3342	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	27	3305	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#BEBADA	18	3830	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2	3
#80B1D3	15	865	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	14	790	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	28	1207	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	30	3663	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	31	5216	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	20	4952	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	3	4866	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	29	4402	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#80B1D3	5	4734	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#FDB462	16	1278	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	14	1067	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	28	2012	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	30	5812	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	28	8184	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	13	8066	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	3	7986	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	6	7624	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FDB462	3	7627	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#FB8072	16	910	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	26	762	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	28	1406	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	30	3582	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	8	4603	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	13	4578	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	3	4298	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	21	3985	du Parc	du Parc	du Parc	du Parc	2	4
#FB8072	18	4574	du Parc	du Parc	du Parc	du Parc	2	4
#B3DE69	20	506	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	14	519	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	30	949	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	28	3718	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	5	3886	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	30	4786	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	21	5341	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#B3DE69	11	4189	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
