colour	x	y	label	key	clickSelects	showSelected1	PANEL	group
#B3DE69	1	4396	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#FCCDE5	15	1158	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	26	1022	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	31	3230	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	30	5428	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	31	9055	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	19	7161	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	12	7385	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	6	6934	Rachel	Rachel	Rachel	Rachel	2	8
#FCCDE5	5	6323	Rachel	Rachel	Rachel	Rachel	2	8
#BC80BD	26	932	Totem_Laurier	Totem_Laurier	Totem_Laurier	Totem_Laurier	2	10
#BC80BD	28	1478	Totem_Laurier	Totem_Laurier	Totem_Laurier	Totem_Laurier	2	10
#BC80BD	30	3470	Totem_Laurier	Totem_Laurier	Totem_Laurier	Totem_Laurier	2	10
#BC80BD	31	4486	Totem_Laurier	Totem_Laurier	Totem_Laurier	Totem_Laurier	2	10
#BC80BD	20	4534	Totem_Laurier	Totem_Laurier	Totem_Laurier	Totem_Laurier	2	10
#BC80BD	11	4655	Totem_Laurier	Totem_Laurier	Totem_Laurier	Totem_Laurier	2	10
#BC80BD	21	4793	Totem_Laurier	Totem_Laurier	Totem_Laurier	Totem_Laurier	2	10
#BC80BD	18	4421	Totem_Laurier	Totem_Laurier	Totem_Laurier	Totem_Laurier	2	10
