colour	x	y	group	clickSelects	showSelected1	PANEL
#FDB462	1284483600	4559.83333333333	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1287075600	3126.58064516129	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1289754000	2085.76666666667	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1292346000	330.41935483871	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1295024400	305.903225806452	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1297702800	271.214285714286	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1300122000	587.41935483871	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1302800400	2034.56666666667	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1305392400	4137.74193548387	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1308070800	5905.7	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1310662800	6106.25806451613	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1313341200	5573.16129032258	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1316019600	5666.93333333333	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1318611600	3630.38709677419	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1321290000	4193.66666666667	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1326560400	249.58064516129	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1329238800	352.620689655172	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1331744400	1152.77419354839	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1334422800	2859.53333333333	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1337014800	4987.38709677419	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1339693200	5640.9	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1342285200	5892.67741935484	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1344963600	5437.29032258065	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1347642000	4909.23333333333	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1350234000	3721.29032258065	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1352912400	2198.8	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1358182800	303.034482758621	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1360861200	317.714285714286	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1363280400	678.096774193548	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1365958800	2520.4	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1368550800	5087.45161290323	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1371229200	4919.93333333333	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1373821200	5622.29032258065	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1376499600	5200.48387096774	6	Maisonneuve 2	Maisonneuve 2	2
#FDB462	1379178000	4798.11111111111	6	Maisonneuve 2	Maisonneuve 2	2
#B3DE69	1287075600	429.541666666667	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1289754000	142.933333333333	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1292346000	31.375	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1295024400	2.26086956521739	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1297702800	1.375	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1300122000	4.45454545454545	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1302800400	520.166666666667	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1305392400	1233.8064516129	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1308070800	1584.06666666667	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1310662800	2647.77419354839	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1313341200	1743.74193548387	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1316019600	1483.73333333333	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1318611600	648.258064516129	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1321290000	413	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1326560400	6.4	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1329238800	8.27586206896552	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1331744400	265.36	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1334422800	539.833333333333	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1337014800	1617.09677419355	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1339693200	1768.1	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1342285200	2581.70967741936	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1344963600	1857.51612903226	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1347642000	1410.93333333333	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1350234000	636.967741935484	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1352912400	148.6	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1358182800	2.77777777777778	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1360861200	6.125	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1363280400	61.0967741935484	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1365958800	681.333333333333	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1368550800	1699.03225806452	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1371229200	1655.76666666667	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1373821200	2621.48387096774	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1376499600	2224.48387096774	7	Pierre-Dupuy	Pierre-Dupuy	2
#B3DE69	1379178000	1434.94444444444	7	Pierre-Dupuy	Pierre-Dupuy	2
#FCCDE5	1287075600	2169.1724137931	8	Rachel	Rachel	2
#FCCDE5	1289754000	1464.3	8	Rachel	Rachel	2
#FCCDE5	1292346000	177.689655172414	8	Rachel	Rachel	2
#FCCDE5	1295024400	114.357142857143	8	Rachel	Rachel	2
#FCCDE5	1297702800	93.25	8	Rachel	Rachel	2
#FCCDE5	1300122000	340.2	8	Rachel	Rachel	2
#FCCDE5	1302800400	1691.8	8	Rachel	Rachel	2
#FCCDE5	1305392400	3219.58064516129	8	Rachel	Rachel	2
#FCCDE5	1308070800	4534.63333333333	8	Rachel	Rachel	2
#FCCDE5	1310662800	4703.51612903226	8	Rachel	Rachel	2
#FCCDE5	1313341200	4568.03225806452	8	Rachel	Rachel	2
#FCCDE5	1316019600	4318.26666666667	8	Rachel	Rachel	2
#FCCDE5	1318611600	1095	8	Rachel	Rachel	2
#FCCDE5	1326560400	71.25	8	Rachel	Rachel	2
#FCCDE5	1329238800	4.29411764705882	8	Rachel	Rachel	2
#FCCDE5	1331744400	979.148148148148	8	Rachel	Rachel	2
#FCCDE5	1334422800	2391.96666666667	8	Rachel	Rachel	2
#FCCDE5	1337014800	4180.32258064516	8	Rachel	Rachel	2
#FCCDE5	1339693200	4884.33333333333	8	Rachel	Rachel	2
#FCCDE5	1342285200	4861.38709677419	8	Rachel	Rachel	2
#FCCDE5	1344963600	4431.51612903226	8	Rachel	Rachel	2
#FCCDE5	1347642000	4125.23333333333	8	Rachel	Rachel	2
#FCCDE5	1350234000	3030.93548387097	8	Rachel	Rachel	2
#FCCDE5	1352912400	1891	8	Rachel	Rachel	2
#FCCDE5	1358182800	255.366666666667	8	Rachel	Rachel	2
#FCCDE5	1360861200	287.928571428571	8	Rachel	Rachel	2
#FCCDE5	1363280400	627.612903225807	8	Rachel	Rachel	2
#FCCDE5	1365958800	2436.06666666667	8	Rachel	Rachel	2
#FCCDE5	1368550800	4750.77419354839	8	Rachel	Rachel	2
#FCCDE5	1371229200	4859.16666666667	8	Rachel	Rachel	2
#FCCDE5	1373821200	5426.38709677419	8	Rachel	Rachel	2
#FCCDE5	1376499600	5129.1935483871	8	Rachel	Rachel	2
#FCCDE5	1379178000	4250.11111111111	8	Rachel	Rachel	2
#D9D9D9	1231952400	359.193548387097	9	Saint-Urbain	Saint-Urbain	2
#D9D9D9	1234630800	697.535714285714	9	Saint-Urbain	Saint-Urbain	2
#D9D9D9	1237050000	1599	9	Saint-Urbain	Saint-Urbain	2
#D9D9D9	1239728400	1693.26666666667	9	Saint-Urbain	Saint-Urbain	2
#D9D9D9	1242320400	1844.12903225806	9	Saint-Urbain	Saint-Urbain	2
#D9D9D9	1244998800	1985.5	9	Saint-Urbain	Saint-Urbain	2
#D9D9D9	1247590800	2228.09677419355	9	Saint-Urbain	Saint-Urbain	2
